agent,tf,test_type,enabled,native,profile,total,wr,balance,return_pct,max_dd,avg_win,avg_loss,avg_win_pct,avg_loss_pct,max_losers_row,trailed_wins,trailed_losses,long_pnl,short_pnl,nlongs,nshorts,avg_bars,elapsed
liquidity_sweep,15m,standard,True,False,liquidity_sweep,1558,51.1,67.8,-32.2,41.3,0.4,-0.47,1.021,-1.172,11,556,0,-11.37,-20.83,829,729,9.4,22.4
liquidity_sweep,15m,confirmed,True,False,liquidity_sweep,12,58.3,100.77,0.8,1.5,0.49,-0.53,0.977,-1.052,2,5,0,2.58,-1.81,4,8,9.7,22.3
liquidity_sweep,30m,standard,True,False,liquidity_sweep,137,40.9,90.05,-10.0,13.4,0.5,-0.48,1.019,-0.994,8,31,0,-10.77,0.82,70,67,6.0,1.6
liquidity_sweep,30m,confirmed,True,False,liquidity_sweep,8,37.5,99.27,-0.7,0.8,0.04,-0.22,0.083,-0.431,3,0,0,0,-0.73,0,8,7.4,1.6
liquidity_sweep,1H,standard,True,False,liquidity_sweep,2161,51.2,225.03,125.0,33.5,0.91,-0.84,1.226,-1.136,17,793,2,73.89,51.14,1036,1125,2.6,20.4
liquidity_sweep,1H,confirmed,True,False,liquidity_sweep,7,28.6,98.09,-1.9,2.3,0.63,-0.63,1.285,-1.278,2,2,0,-0.41,-1.49,5,2,1.7,20.1
connors_rsi2,5m,standard,False,True,connors_rsi2,248,58.5,107.14,7.1,10.5,0.55,-0.7,0.982,-1.237,8,76,0,6.27,0.87,144,104,61.4,39.2
connors_rsi2,15m,standard,False,False,connors_rsi2,204,54.4,108.41,8.4,9.9,0.51,-0.53,0.96,-0.985,8,56,0,3.54,4.87,118,86,21.2,38.5
connors_rsi2,15m,confirmed,False,False,connors_rsi2,36,61.1,103.01,3.0,2.6,0.5,-0.57,0.982,-1.108,3,10,0,0.18,2.83,23,13,20.7,38.8
connors_rsi2,30m,standard,False,False,connors_rsi2,63,49.2,99.44,-0.6,4.8,0.42,-0.44,0.858,-0.887,4,13,0,-4.67,4.11,30,33,11.0,12.0
connors_rsi2,30m,confirmed,False,False,connors_rsi2,10,40.0,99.32,-0.7,1.7,0.34,-0.41,0.695,-0.823,2,1,0,0,-0.68,0,10,11.9,12.0
connors_rsi2,1H,standard,False,False,connors_rsi2,187,62.0,112.2,12.2,6.7,0.38,-0.45,0.723,-0.85,5,43,0,2.11,10.08,112,75,5.4,34.9
connors_rsi2,1H,confirmed,False,False,connors_rsi2,17,70.6,100.19,0.2,2.4,0.44,-1.02,0.879,-2.014,2,6,0,-1.75,1.94,14,3,4.8,34.8
wide_scalp,5m,standard,True,False,wide_scalp,2999,57.0,39.94,-60.1,60.9,0.1,-0.19,0.299,-0.565,14,1639,0,-27.2,-32.86,1480,1519,14.1,34.3
wide_scalp,15m,standard,True,False,wide_scalp,3470,59.0,33.9,-66.1,67.4,0.08,-0.18,0.273,-0.573,15,1971,0,-30.57,-35.52,1742,1728,4.1,33.9
wide_scalp,15m,confirmed,True,False,wide_scalp,2,100.0,100.21,0.2,0,0.11,0.0,0.214,0.0,0,2,0,0,0.21,0,2,1.0,33.5
wide_scalp,30m,standard,True,False,wide_scalp,1309,60.1,81.75,-18.3,25.1,0.14,-0.26,0.309,-0.571,9,753,0,-21.42,3.17,762,547,2.6,10.4
wide_scalp,30m,confirmed,True,False,wide_scalp,59,71.2,101.97,2.0,1.1,0.16,-0.29,0.312,-0.573,3,38,0,0.32,1.65,3,56,3.0,10.3
wide_scalp,1H,standard,True,False,wide_scalp,3658,63.2,213.27,113.3,12.2,0.29,-0.43,0.388,-0.573,15,2223,2,63.69,49.59,1655,2003,1.5,29.5
wide_scalp,1H,confirmed,True,False,wide_scalp,4,25.0,99.41,-0.6,0.9,0.3,-0.3,0.615,-0.6,3,1,0,-0.9,0.3,3,1,1.0,29.5
wide_candle,15m,standard,True,False,wide_candle,34,64.7,92.12,-7.9,12.1,0.72,-1.97,1.465,-4.0,3,22,0,-3.23,-4.64,17,17,81.0,102.9
wide_candle,15m,confirmed,True,False,wide_candle,6,66.7,97.85,-2.1,4.0,0.46,-2.0,0.938,-4.0,2,4,0,-3.09,0.94,4,2,23.7,102.0
wide_candle,30m,standard,True,False,wide_candle,14,71.4,100.18,0.2,6.9,0.86,-2.09,1.664,-4.0,3,10,0,2.62,-2.45,9,5,54.1,31.9
wide_candle,30m,confirmed,True,False,wide_candle,9,77.8,102.89,2.9,4.0,1.02,-2.12,1.985,-4.0,2,7,0,5.4,-2.51,4,5,57.3,32.0
wide_candle,1H,standard,True,False,wide_candle,61,59.0,77.45,-22.5,26.6,0.6,-1.77,1.393,-4.0,6,36,0,-7.2,-15.35,27,34,22.4,93.9
wide_candle,1H,confirmed,True,False,wide_candle,23,47.8,86.54,-13.5,14.1,0.83,-1.88,1.79,-4.0,4,11,0,-2.24,-11.22,6,17,30.3,95.0
hurst_regime,15m,standard,False,False,hurst_regime,17439,48.4,10.96,-89.0,93.4,0.19,-0.19,0.754,-0.769,22,2755,1,-44.44,-44.61,9055,8384,14.0,133.2
